Folio,Cliente ,NumeroParte,Nombre ,PROYECTO,LARGO,ANCHO,ALTO,ECT,CORRUGADO,CODIGO,documento
10311053,DENSO,LS5D,CAJA CON FONDO ,LS5D,59.5,35,28.5,42,Doble,ESP-DSO-053,https://drive.google.com/file/d/1NkPZF5DJg4pTwqfFkVwUeT_j-daur5_I/view?usp=share_link
10310054,DENSO,LS8H,CAJA NORMAL,LS8H,87,24.5,25,42,Doble,ESP-DSO-054,https://drive.google.com/file/d/1WH2-ZBeIInuHF3VEXAZWt31fag_fnmui/view?usp=share_link
10311055,DENSO,LS9D,CAJA CON FONDO ,LS9D,54.5,34.5,25,42,Doble,ESP-DSO-055,https://drive.google.com/file/d/1ODpGdB0CiOuf5mxMkQ5UdxugVs9e49qW/view?usp=share_link
10311056,DENSO,LS4D,CAJA CON FONDO ,LS4D,61,34,37,42,Doble,ESP-DSO-056,https://drive.google.com/file/d/12r8dFH7iDIb5K_AxoPXD2IhGwT_If5Ok/view?usp=share_link
10311057,DENSO,LS5M,CAJA CON FONDO ,LS5M,121,36.5,30,42,Doble,ESP-DSO-057,https://drive.google.com/file/d/1B5OLtYj0QqF_lPVB61xyL0wjL97KeTie/view?usp=share_link
10311058,DENSO,4H,CAJA CON FONDO ,4H,83,35,37.3,42,Doble,ESP-DSO-058,https://drive.google.com/file/d/1Uq2EwTCOS95HFGxVJVHanUwq2PsCNqin/view?usp=share_link
10311059,DENSO,6F,CAJA CON FONDO ,4H,56.5,53,33.5,42,Doble,ESP-DSO-059,https://drive.google.com/file/d/11M-4qFEXAMa7W6XICF2DqzwBgJcXL1XK/view?usp=share_link
10316060,DENSO,TUBO 1590,MANGA NORMAL,TUBO 1590,121.9,115.6,117,42,Doble,ESP-DSO-060,https://drive.google.com/file/d/1e3qcJKBzh0WSzB8B8L_ZW74Htil8hloL/view?usp=share_link
10311061,DENSO,4F,CAJA CON FONDO ,4F,53,46,38,42,Doble,ESP-DSO-061,https://drive.google.com/file/d/1i2HNWWhADcEKdc5BanqlBldqCx4ZmiEF/view?usp=share_link
10319062,DENSO,SEPARADOR 7000,SEPARADOR,SEPARADOR 7000,18.9,5,0,32,Sencillo,ESP-DSO-062,https://drive.google.com/file/d/1HaACqe_q_lYYq1hGxoNb9cDjDqi2Hqe4/view?usp=share_link
10319063,DENSO,DUNAGE 4F,SEPARADOR,DUNAGE 4F,54,52,26,42,Doble,ESP-DSO-063,https://drive.google.com/file/d/1C8oTVBbaLOGzVHs-oWhBJCmqIz10diAt/view?usp=share_link
10319064,DENSO,DUNAGE 4F,SEPARADOR,DUNAGE 4F,23.5,10.3,25.5,42,Doble,ESP-DSO-064,https://drive.google.com/file/d/1ZxP9-csZXJhmFK3PDfimv3jTP0-fB6kn/view?usp=share_link
10314055,DENSO,TAPA CAMA LS1-TC,TAPA TELESCÓPICA,TAPA CAMA LS1-TC,113.3,97.2,7.6,32,Sencillo,ESP-DSO-065,https://drive.google.com/file/d/1uRt_4SWdPbt-xOa_CyPEJeuBUkGK32MC/view?usp=share_link
10314066,DENSO,TAPA MANGA LS1A-TM,TAPA TELESCÓPICA,TAPA MANGA LS1A-TM,116.2,99.4,7.6,32,Sencillo,ESP-DSO-066,https://drive.google.com/file/d/12JmIqLyyzW-g3MouUy8iaYdkBtzE2L7Y/view?usp=share_link
