Folio,Cliente ,NumeroParte,Nombre ,PROYECTO,LARGO,ANCHO,ALTO,ECT,CORRUGADO,CODIGO,documento
2150001,ABB,265A5213P362,CAJA NORMAL,-,110.9,38,19.3,32,Sencillo,ESP-ABB-001,
2150002,ABB,265A5213P360 ,CAJA NORMAL,-,77.9,38,16.5,32,Sencillo,ESP-ABB-002,
2150003,ABB,252B1748P38 ,CAJA NORMAL,-,130.8,63.2,32.7,32,Sencillo,ESP-ABB-003,
2150004,ABB,252B1748P39 ,CAJA NORMAL,-,128.2,62.2,36.2,32,Sencillo,ESP-ABB-004,
2150005,ABB,2100362482G1,CAJA TROQUELADA,-,19.7,11.6,26.6,26,Sencillo,ESP-ABB-005,
2150006,ABB,2100362482G2 ,CAJA TROQUELADA,-,15.4,10.6,17.6,26,Sencillo,ESP-ABB-006,
2150007,ABB,252B1881P100 ,CAJA NORMAL,-,107,40.5,21,42,Doble,ESP-ABB-007,
2150008,ABB,252B1881P112 ,CAJA NORMAL,-,86.5,45.8,21,42,Doble,ESP-ABB-008,
2150009,ABB,252B1881P128,CAJA NORMAL,-,89.5,44,22.8,32,Sencillo,ESP-ABB-009,
2150010,ABB,252B1881P129B,CAJA NORMAL,-,75,44.5,22,32,Sencillo,ESP-ABB-010,
2150011,ABB,252B1881P38 ,CAJA NORMAL,-,130.8,63.2,32.8,42,Doble,ESP-ABB-011,
2150012,ABB,252B1881P39,CAJA NORMAL,-,128.2,61.6,36.2,42,Doble,ESP-ABB-012,
2150013,ABB,265A5213P136 ,CAJA NORMAL,-,44,41.5,15.5,32,Doble,ESP-ABB-013,
2150014,ABB,265A5213P149 ,CAJA NORMAL,-,69.5,38,18.5,32,Doble,ESP-ABB-014,
2150015,ABB,265A5213P17 ,CAJA NORMAL,-,77,23.5,13.5,26,Sencillo,ESP-ABB-015,
2150016,ABB,265A5213P241,CAJA NORMAL,-,34,19.5,11,32,Doble,ESP-ABB-016,
2150017,ABB,265A5213P252 ,CAJA NORMAL,-,67,37,15,32,Doble,ESP-ABB-017,
2150018,ABB,265A5213P264,CAJA NORMAL,-,73.5,37,15.5,32,Sencillo,ESP-ABB-018,
2150019,ABB,265A5213P333,CAJA NORMAL,-,84.3,41,18,42,Doble,ESP-ABB-019,
2150020,ABB,265A5213P360,CAJA NORMAL,-,78,38,16.5,42,Doble,ESP-ABB-020,
2150021,ABB,265A5213P362,CAJA NORMAL,-,111,38,19.4,42,Doble,ESP-ABB-021,
2150022,ABB,10057284P3 ,CAJA TROQUELADA,-,13,8.7,6.3,32,Sencillo,ESP-ABB-022,
2150023,ABB,265A5099-P67,CAJA TROQUELADA,-,26.5,4.5,4.8,32,Sencillo,ESP-ABB-023,
2150024,ABB,265A5099-P68,CAJA TROQUELADA,-,26.5,4.7,4.8,32,Sencillo,ESP-ABB-024,
2150025,ABB,265A5099-P69,CAJA TROQUELADA,-,30,12,6,32,Sencillo,ESP-ABB-025,
2150026,ABB,D12822440 ,INSERTO TRQ,-,16.5,9,8.5,32,Sencillo,ESP-ABB-026,
2150027,ABB,265A5213P9 ,CAJA TROQUELADA,-,16.5,9,8.5,32,Sencillo,ESP-ABB-027,
2150028,ABB,265A5213P412,CAJA TROQUELADA,-,40.5,12,9,42,Sencillo,ESP-ABB-028,
11214001,ABC,CAMA DE AIRE,TAPA TELESCOPICA,CAMA DE AIRE,147,81,7.5,32,Sencillo,ESP-ACB-001,https://drive.google.com/file/d/1oMjCmPrHuR4DRU9lNcQtV4k1Jxt_VHIp/view?usp=sharing
11220002,ABC,CAMA DE AIRE,REJILLA 24 CAV,CAMA DE AIRE,146,7,0,42,Doble,ESP-ACB-002,https://drive.google.com/file/d/1Ja6FiBUG1k6XDffF4HUsvS1zgUS_BFPS/view?usp=sharing
11221003,ABC,CAMA DE AIRE,REJILLA 24 CAV,CAMA DE AIRE,80,7,0,42,Doble,ESP-ACB-003,https://drive.google.com/file/d/16HzbT2-uuP_AfyQwv5eYIel6iaJaQQSI/view?usp=sharing
11211004,ABC,WOM-FRONTAL,CAJA CON FONDO,WOM-FRONTAL,146,123,65,42,Doble,ESP-ACB-004,https://drive.google.com/file/d/16aiOoAe_q4QYfP48Qv6Z_mm1FiepAhAs/view?usp=sharing
11214005,ABC,WOM-FRONTAL,TAPA TELESCOPICA ,WOM-FRONTAL,147,124,10,42,Doble,ESP-ACB-005,https://drive.google.com/file/d/11PWRjdm1bIqAgds5DfomTRRWD9GGMolw/view?usp=sharing
11220006,ABC,WOM-FRONTAL,REJILLA 16 CAV,WOM-FRONTAL,146,63.5,0,32,Sencillo,ESP-ACB-006,https://drive.google.com/file/d/1apmbFg8vKRbH5n8R3EpGCTDjp-7a1l0d/view?usp=sharing
11221007,ABC,WOM-FRONTAL,REJILLA 16 CAV,WOM-FRONTAL,122,63.5,0,32,Sencillo,ESP-ACB-007,https://drive.google.com/file/d/1NgEiGyub9ZS1JnM5R0vYznG83N3gxacv/view?usp=sharing
11222008,ABC,WOM-FRONTAL,REJILLA 16 CAV,WOM-FRONTAL,122,43,0,32,Sencillo,ESP-ACB-008,https://drive.google.com/file/d/1fk_ljnOoBb2lFqTUq_Vq8_BmTgJGw3-o/view?usp=sharing
11223009,ABC,WOM-FRONTAL,REJILLA 16 CAV,WOM-FRONTAL,60,63.5,0,32,Sencillo,ESP-ACB-009,https://drive.google.com/file/d/1v2pe8gLNtAMeJb3EG5sw_Uq3jEna-Iu8/view?usp=sharing
11224010,ABC,WOM-FRONTAL,REJILLA 16 CAV,WOM-FRONTAL,122,56,0,32,Sencillo,ESP-ACB-010,https://drive.google.com/file/d/1c1iQxz_04DG3uR3Xv6Kvdl_Jr5_9YhLS/view?usp=sharing
11211011,ABC,WOM-REAR,CAJA CON FONDO,WOM-REAR,120.5,113,66,42,Doble,ESP-ACB-011,https://drive.google.com/file/d/1LLTZCVUOIAc63eLxfZIE3ADCUDOu-2nD/view?usp=sharing
11214012,ABC,WOM-REAR,TAPA TELESCOPICA,WOM-REAR,121.5,114,10,42,Doble,ESP-ACB-012,https://drive.google.com/file/d/1nY6nLMdYce_e7iHaIfbsoLXQfvD8AQZs/view?usp=sharing
11220013,ABC,WOM-REAR,REJILLA 16 CAV,WOM-REAR,119.5,65,0,32,Sencillo,ESP-ACB-013,https://drive.google.com/file/d/1QOU-G3X-53ieHdNcrKP4Ub7Nmk1vSKmL/view?usp=sharing
11221014,ABC,WOM-REAR,REJILLA 16 CAV,WOM-REAR,112,65,0,32,Sencillo,ESP-ACB-014,https://drive.google.com/file/d/1c-OEeNXamxQJJVMnGANHf1JQbbJgBDKh/view?usp=sharing
11222015,ABC,WOM-REAR,REJILLA 16 CAV,WOM-REAR,112,44.5,0,32,Sencillo,ESP-ACB-015,https://drive.google.com/file/d/1rkesT445zzKOpV6J6FHQ5ZadhleehZ0K/view?usp=sharing
11223016,ABC,WOM-REAR,REJILLA 16 CAV,WOM-REAR,59.5,65,0,32,Sencillo,ESP-ACB-016,https://drive.google.com/file/d/10FgmWF5kKxsGyBfXtj_6B-w1aBZjGVOX/view?usp=sharing
11224017,ABC,WOM-REAR,REJILLA 16 CAV,WOM-REAR,112,67,0,32,Sencillo,ESP-ACB-017,https://drive.google.com/file/d/1eULiB8q7jG9cIeslerrMbp9V7x-1EWmT/view?usp=sharing
11211018,ABC,BSM-REAR-FORNT,CAJA CON FONDO,BSM-REAR-FRONT,120.5,113,53,42,Doble,ESP-ACB-018,https://drive.google.com/file/d/1CFC7m_nJV5eLxwksf1DAQiKuJHZdwtMa/view?usp=sharing
11214019,ABC,BSM-REAR-FORNT,TAPA TELESCOPICA,BSM-REAR-FRONT,121.5,114,10,42,Doble,ESP-ACB-019,https://drive.google.com/file/d/1u0t7pq0oxkLpr_KJaRn_93U2SQYgmyw4/view?usp=sharing
11220020,ABC,BSM-REAR,REJILLA 9 CAV,BSM-REAR,119.5,25.5,0,32,Sencillo,ESP-ACB-020,https://drive.google.com/file/d/1vhzGooEjLajYe6hTl0X0-G8WVj5OB6YJ/view?usp=sharing
11221021,ABC,BSM-REAR,REJILLA 9 CAV,BSM-REAR,112,25.5,0,32,Sencillo,ESP-ACB-021,https://drive.google.com/file/d/1C4WuILuBwFv8voBqFwEvE8Fu-zffiGus/view?usp=sharing
11220022,ABC,BSM-FRONT,REJILLA DE 10 CAV,BSM-FRONT,119.5,25.5,0,32,Sencillo,ESP-ACB-022,https://drive.google.com/file/d/1o7c4v6lZlUisc0Yd5AaTQncutVcsAUyG/view?usp=sharing
11221023,ABC,BSM-FRONT,REJILLA DE 10 CAV,BSM-FRONT,112,25.5,0,32,Sencillo,ESP-ACB-023,https://drive.google.com/file/d/1CBfTXC_It8mEZ4qBG6bBEXAbRTitOB2O/view?usp=sharing
11219024,ABC,"BS,M-FORNT-REAR",SEPARADOR,"BS,M-FORNT-REAR",119.5,112,0,32,Sencillo,ESP-ACB-024,https://drive.google.com/file/d/1uzKhpPsA0Y606m0xJyObQec5sB36gztB/view?usp=sharing
11215025,ABC,"45"" X 15"" X 26""",CAJA TRASLAPADA ,"45"" X 15"" X 26""",114,39,65,42,Doble,ESP-ACB-025,https://drive.google.com/file/d/1fWyh7y-82jmFcFiNzGsP26BruLcBGSXa/view?usp=sharing
1019001,ADIENT Derramadero,FONDO 20% ,SEPARADOR,-,128,118,0,42,Doble,ESP-ADID-001,https://drive.google.com/file/d/1GKxM43UY7pQs0IHVwByXyZF3Zoo5nO5r/view?usp=sharing
1017002,ADIENT Derramadero,MANGA 20%,MANGA CON FALDON,-,130,120,42,ECT - 84,Cuadruple,ESP-ADID-002,https://drive.google.com/file/d/1YJX68jjHwjQHj_gNvViFdTteCO5HB-BV/view?usp=sharing
1020003,ADIENT Derramadero,REJILLA 20%,REJILLA,-,128.1,40.5,0,42,Doble,ESP-ADID-003,https://drive.google.com/file/d/1wSdebBhhV9S6PNhGBgpdg1DWYe3G_KtM/view?usp=sharing
1021004,ADIENT Derramadero,REJILLA 20%,REJILLA,-,118,40.8,0,42,Doble,ESP-ADID-004,https://drive.google.com/file/d/1sE1Yg0BPnwLjfnvfJU4q-kZqeNUzaHw-/view?usp=sharing
1010005,ADIENT Derramadero,MOPAR CH,CAJA NORMAL,-,41.8,30.8,16.7,32,Sencillo,ESP-ADID-005,https://drive.google.com/file/d/1kxQqbjghy6M8u1fwg23c3GRRPrYLF0-7/view?usp=sharing
1010006,ADIENT Derramadero,MOPAR M,CAJA NORMAL,-,67.4,54.8,23.7,32,Sencillo,ESP-ADID-006,https://drive.google.com/file/d/1IeQCfIHG7S-JeJQWGv0KU6YvK49qGMhc/view?usp=sharing
1010007,ADIENT Derramadero,MOPAR G,CAJA NORMAL,-,119.5,20,86.5,32,Sencillo,ESP-ADID-007,https://drive.google.com/file/d/1z79aOyvbB5KWWuRxS04EUVvnBoohyUWy/view?usp=sharing
1016008,ADIENT Derramadero,-,MANGA NORMAL,-,121.9,114.3,88.9,74,Triple,ESP-ADID-008,https://drive.google.com/file/d/1VhVu3UKrYXlxXRY9Hfk6PILwiI8njnte/view?usp=sharing
102009,ADIENT Derramadero,215-26,REJILLA,CORDERA 4985215,67.8,26,0,42,Doble,ESP-ADID-009,https://drive.google.com/file/d/1fWfaJmDZHVG8QI0hLmFD6QFe9jEEuq9I/view?usp=sharing
102010,ADIENT Derramadero,215-26,REJILLA,CORDERA 4985215,160,26,0,42,Doble,ESP-ADID-010,https://drive.google.com/file/d/1jpDIqXDJb5R0WOXOzKNFaIBnhs8CCzhW/view?usp=sharing
1020011,ADIENT Derramadero,852-11,REJILLA,CORDERA 4984852,68,11,0,42,Doble,ESP-ADID-011,https://drive.google.com/file/d/1Vsb97ZD9hgvEp70QJGnjPYkLovmo2szJ/view?usp=sharing
1021012,ADIENT Derramadero,852-11,REJILLA,CORDERA 4984852,160,11,0,42,Doble,ESP-ADID-012,https://drive.google.com/file/d/13xTQ5YemWkb-N5ktbxULjIRVqqCclZEZ/view?usp=sharing
1020013,ADIENT Derramadero,852-29,REJILLA,CORDERA 4984852,67.8,29,0,42,Doble,ESP-ADID-013,https://drive.google.com/file/d/1FnlNm8vPyZICVgVetVoSkzv8pMiq_zCh/view?usp=sharing
1021014,ADIENT Derramadero,852-29,REJILLA,CORDERA 4984852,160,29,0,42,Doble,ESP-ADID-014,https://drive.google.com/file/d/18e858zKmsQBCjuxnS8ZE58-He-hzDmky/view?usp=sharing
1020015,ADIENT Derramadero,4984854 34 CAV,REJILLA,4984854-34 CAV,160,11,0,42,Doble,ESP-ADID-015,https://drive.google.com/file/d/1ze5U-7cMG1RhzGsdom4xapC4912p_NKT/view?usp=sharing
1020016,ADIENT Derramadero,4984854 34 CAV,REJILLA,4984854-34 CAV,68,11,0,42,Doble,ESP-ADID-016,https://drive.google.com/file/d/1L8X86gUSIRrBQ72fl0aP0f-zrz_daUor/view?usp=sharing
1020017,ADIENT Derramadero,4984854 34 CAV,REJILLA ,4984854-34 CAV,156,29,0,42,Doble,ESP-ADID-017,https://drive.google.com/file/d/1vmhKphm_7QeVjcSQOEJXe-Ke3BjbzVam/view?usp=sharing
1021018,ADIENT Derramadero,4984854 34 CAV,REJILLA,4984854-34 CAV,68.1,29,0,42,Doble,ESP-ADID-018,https://drive.google.com/file/d/1AUv0QR_BNXmbNwiLSkl2LrEtZJgsNZgu/view?usp=sharing
1020019,ADIENT Derramadero,4985215 40 CAV,REJILLA,4985215 - 40 CAV,157,26,0,42,Doble,ESP-ADID-019,https://drive.google.com/file/d/1zb3pTzZyb4NaLk_P6j7zDFps9_2FfCTl/view?usp=sharing
1021020,ADIENT Derramadero,4985215 40 CAV,REJILLA ,4985215-40CAV,68.1,26,0,42,Doble,ESP-ADID-020,https://drive.google.com/file/d/1GnQgK2B_xkMuWAd_864l_AumC-3IgiPu/view?usp=sharing
1016021,ADIENT Derramadero,"KIT 28"" X 63""",MANGA NORMAL,-,159.5,69.5,57,ECT - 84,Cuadruple,ESP-ADID-021,https://drive.google.com/file/d/1qe43tNlg0LBlCLhkxmhZsX76L1g-KngE/view?usp=sharing
1015022,ADIENT Derramadero,MOPAR CH (SIN IMPRESIÓN),CAJA NORMAL,MOPAR CH (SIN IMPRESÓN),41.8,30.8,16.7,32,Sencillo,ESP-ADID-022,https://drive.google.com/open?id=10dtJdquRc0AmUab66gXYvevBg2I35o_-&usp=drive_fs
1013023,ADIENT Derramadero,MOPAR M (SIN IMPRESIÓN),CAJA NORMAL,MOPAR M (SIN IMPRESIÓN),57.4,54.8,23.7,32,Sencillo,ESP-ADID-023,https://drive.google.com/open?id=10j6_AQ2FRvVPPn0qaFZJlA-OkqyUgUOb&usp=drive_fs
1011024,ADIENT Derramadero,MOPAR G (SIN IMPRESIÓN),CAJA NORMAL,MOPAR G (SIN IMPRESIÓN),119.5,20,86.5,32,Sencillo,ESP-ADID-024,https://drive.google.com/open?id=10mKB5pdfHX-pNuYkMX-0Z7EhgpygEH_a&usp=drive_fs
1009025,ADIENT Derramadero,,,,,,,,,ESP-ADID-025,
101426,ADIENT Derramadero,"KIT 28"" X 63""",TAPA TELESCOPICA ,-,162.5,72.5,10,42,Doble,ESP-ADID-026,https://drive.google.com/file/d/1ITXZZt33EgbwpgIofruIC_LuswkPPv50/view?usp=sharing
1019027,ADIENT Derramadero,"KIT 28"" X 63""",SEPARADOR,-,67,30,0,42,Doble,ESP-ADID-027,https://drive.google.com/file/d/136e2rDL6C5uRug344pNhnnOozqSEdhqc/view?usp=sharing
1936628,ADIENT Derramadero,-,-,-,30,9,0,,Doble,ESP-ADID-028,
1011029,ADIENT Derramadero,TOTE GRANDE ,CAJA CON FONDO ,TOTE GRANDE ,60.9,55.9,28.4,32,Sencillo,ESP-ADID-029,https://drive.google.com/file/d/1MbLyHvIO2uBPoXjTzPlBZsvRU1Dw2pd1/view?usp=sharing
1011030,ADIENT Derramadero,TOTE CHICO,CAJA CON FONDO ,TOTE GRANDE ,60.9,55.9,18.2,32,Sencillo,ESP-ADID-030,https://drive.google.com/file/d/1qMKYqiUkKjac3L1bsGudLw2UI13cvF1n/view?usp=sharing
1014031,ADIENT Derramadero,SINGLE LID TOTE ,CAJA TELESCOPICA,SINGLE LID TOTE,62.8,57.9,8.4,32,Sencillo,ESP-ADID-031,https://drive.google.com/file/d/1t0OpVpigiAe0fvaZ6vw_Z-SjiUNa-F6o/view?usp=sharing
1014032,ADIENT Derramadero,"40""X24""X11""",CAJA NORMAL,-,100.5,60,28,42,Doble,ESP-ADID-032,https://drive.google.com/file/d/1iqy1YHOtzw0_dQxC-5PgtfHxsL2YvKQf/view?usp=drive_link
1014033,ADIENT Derramadero,"56X54X9""",CAJA TELESCOPICA,"TOLDOS (56""X54""X9.5"")",143,138,24,48,Doble,ESP-ADID-033,https://drive.google.com/open?id=132rDgOpHMbQANHDAew7MGMn7E__9-3sh&usp=drive_fs
1014034,ADIENT Derramadero,"56X54X9""",TAPA TELESCOPICA,"TOLDOS (56""X54""X9.5"")",145,140,24,48,Doble,ESP-ADID-034,https://drive.google.com/open?id=13BitXuk5D_2RNtRIbwGlNTVrhPrjhVK6&usp=drive_fs
1014035,ADIENT Derramadero,"70X54X9""",CAJA TELESCOPICA,"TOLDOS (70""X54""X9"") ",179,138,24.5,48,Doble,ESP-ADID-035,https://drive.google.com/open?id=13BpjDKqNWdOeVFhgEkSBnf9lzPYdpIoE&usp=drive_fs
1014036,ADIENT Derramadero,"70X54X9""",TAPA TELESCOPICA,"TOLDOS (70""X54""X9"") ",182,141,24.5,48,Doble,ESP-ADID-036,https://drive.google.com/open?id=13CWjWvm-pOqCsswVvCuJzKbcm-fw3Ggc&usp=drive_fs
10917001,ADIENT Ediasa,MANTA,MANGA CON ALETONES ,MANTA,121.9,114.3,114.3,74,Triple,ESP-ADE-001,https://drive.google.com/file/d/15cLpx5zaDhKmMGKwZofD_D4fNyOgjYnJ/view?usp=sharing
101914002,ADIENT Ediasa,MANTA ,TAPA TELESCOPICA ,MANTA,124.4,116,12.5,42,Doble,ESP-ADE-002,https://drive.google.com/file/d/1-1Y9tvNOSrVMLQz9DNvg267EYW9ENrdu/view?usp=sharing
10919003,ADIENT Ediasa,MANTA ,SEPARADOR,MANTA,119,109,0,74,Triple,ESP-ADE-003,https://drive.google.com/file/d/1Dgggu6TdDShfcZjJYRolsCmvOez1-3fA/view?usp=sharing
11917001,ADIENT Matamoros,MANGA DM,MANGA CON ALETONES ,MANGA DM,122.5,114,74.5,74,Triple,ESP-ADMT-001,https://drive.google.com/file/d/18VQP9loMi2cnH1JFGuJMjmHYkxJhunYw/view?usp=sharing
1117001,ADIENT Metales,9883,MANGA CON FONDO ,BRASIL,108,69,58,74,Triple,ESP-ADIM-001,https://drive.google.com/file/d/1qhHTK5ksgTq3T_b_BMu9FzPJWLsR0UrP/view?usp=sharing
1120002,ADIENT Metales,9883,REJILLA,BRASIL,106.4,56,0,32,Sencillo,ESP-ADIM-002,https://drive.google.com/file/d/1WoXcWQLPnvS-ETSkz7jhT7dVSgVyo9Bz/view?usp=sharing
1121003,ADIENT Metales,9883,REJILLA,BRASIL,67.5,56,0,32,Sencillo,ESP-ADIM-003,https://drive.google.com/file/d/11kZ4yjrGbE7XMCpHfLnWRC3Gl3amwulw/view?usp=sharing
1119004,ADIENT Metales,9883,SEPARADOR,BRASIL,106,67,0,42,Doble,ESP-ADIM-004,https://drive.google.com/file/d/1r6DzDJ4DQ0q1Mq-nDg9alKw6zibKu1P2/view?usp=sharing
1114005,ADIENT Metales,9883,TAPA TELESCOPICA,BRASIL,109.7,70.7,12,42,Doble,ESP-ADIM-005,https://drive.google.com/file/d/1Gq2O0PUzA1edmjU6kkXTEvkqpAHm0cql/view?usp=sharing
1110006,ADIENT Metales,5241,CAJA NORMAL,BRASIL,33,25.5,15.5,42,Doble,ESP-ADIM-006,https://drive.google.com/file/d/1n-vfqLSBDtzFdYJMQncMGmPxT1J95n-a/view?usp=sharing
1120007,ADIENT Metales,4978,REJILLA,BRASIL,120,65,0,42,Doble,ESP-ADIM-007,https://drive.google.com/file/d/1PeCeOrdsbunRJHZzpU176D-LUAVhmgIb/view?usp=sharing
1121008,ADIENT Metales,4978,REJILLA,BRASIL,112,65,0,42,Doble,ESP-ADIM-008,https://drive.google.com/file/d/1MZcDOJRRKdfa1i4dFpwAjzYVwwmETIQh/view?usp=sharing
1117009,ADIENT Metales,4978,MANGA CON FALDON,BRASIL/ARGENTINA,122,114,68,ECT - 82,Doble,ESP-ADIM-009,https://drive.google.com/file/d/16meEw0uYiyphmRrdgs1feMpr8MQBJEzl/view?usp=sharing
1114010,ADIENT Metales,4978,TAPA TELESCOPICA,BRASIL,124.7,116.7,12,42,Doble,ESP-ADIM-010,https://drive.google.com/file/d/1A6WVS40gI7I8jY8bgnCgmf7575AVr4mk/view?usp=sharing
1119011,ADIENT Metales,4978,SEPARADOR,BRASIL,120,112,0,74,Triple,ESP-ADIM-011,https://drive.google.com/file/d/1We-x6wRJo9BZzO1MPJMojHoRSDsRps0S/view?usp=sharing
1120012,ADIENT Metales,REJILLA 8 CAVIDADES,REJILLA,X-247,113,57,0,4 mm,Coroplast,ESP-ADIM-012,https://drive.google.com/file/d/1xIONVZjFbm6vHDQRV9W8KkYh1ymXE4gM/view?usp=sharing
1121013,ADIENT Metales,REJILLA 8 CAVIDADES,REJILLA,X-247,118,57,0,4 mm,Coroplast,ESP-ADIM-013,https://drive.google.com/file/d/1YZDDwTv-ReDloxy4E9RVZJQLakZ5ULwq/view?usp=sharing
1110014,ADIENT Metales,FSC ASIENTO,CAJA NORMAL,-,61.3,52.8,21,42,Doble,ESP-ADIM-014,https://drive.google.com/file/d/1vjvezMGuumtCr3p5JOczuCeHELHu-Z-r/view?usp=sharing
1110015,ADIENT Metales,FSC RESPALDO,CAJA NORMAL,-,70.8,51.3,17.5,42,Doble,ESP-ADIM-015,https://drive.google.com/file/d/12t9_Zelg0A2VN9C3kY2Oibp-crMfL8ZR/view?usp=sharing
1116016,ADIENT Metales,ARGENTINA 4978 ,MANGA NORMAL,ARGENTINA,122,114,67,42,Doble,ESP-ADIM-016,https://drive.google.com/file/d/102Fc2jCePMgWKWGIgPwaKuhDYpnRX7yT/view?usp=sharing
1117017,ADIENT Metales,4057,MANGA CON FALDON,BRASIL,108,69,52,74,Triple,ESP-ADIM-017,https://drive.google.com/file/d/1kpCzm79PnC2fDZo2ayaqtgm4Zybpvcan/view?usp=sharing
1114018,ADIENT Metales,4057,TAPA TELESCOPICA,BRASIL,109.7,70.7,12,42,Doble,ESP-ADIM-018,https://drive.google.com/file/d/1r45wYHtI-r4fPIbaBHUqMMdf4mcjRlH_/view?usp=sharing
1117019,ADIENT Metales,8446,MANGA CON FALDON,BRASIL,108,69,52,74,Triple,ESP-ADIM-019,https://drive.google.com/file/d/1zxJQTgG2_L_1uFTTzqA_qb2jQIBTHhu8/view?usp=sharing
1114020,ADIENT Metales,9446,TAPA TELESCOPICA,BRASIL,109.7,70.7,12,42,Doble,ESP-ADIM-020,https://drive.google.com/file/d/11bytgN8-K_ewpgkaJNFwTOKl7UTJjGy1/view?usp=sharing
1120021,ADIENT Metales,CUSHION 40%,REJILLA,-,111,46,0,42,Doble,ESP-ADIM-021,https://drive.google.com/file/d/1vC18SbHqMSVWkibbicgSGAoLRCEj0ds7/view?usp=sharing
1121022,ADIENT Metales,CUSHION 40%,REJILLA,-,111,58,0,42,Doble,ESP-ADIM-022,https://drive.google.com/file/d/1cIGP6aWbT03fYfM0TwVKyl--Ax3qobiq/view?usp=sharing
1122023,ADIENT Metales,CUSHION 40%,REJILLA ,-,111,48,0,42,Doble,ESP-ADIM-023,https://drive.google.com/file/d/1Z7szJYLpUSKpLWfMyhAra4f5R97RNALr/view?usp=sharing
1119024,ADIENT Metales,SEPARADOR/FONDO,SEPARADOR,-,111,104,0,10 mm,Coroplast,ESP-ADIM-024,https://drive.google.com/file/d/1rc0XmD7Es7i59Eder5-adkcQdnjuwtNk/view?usp=sharing
1119025,ADIENT Metales,SEPARADOR CARTON,SEPARADOR,-,111,104,0,32,Sencillo,ESP-ADIM-025,https://drive.google.com/file/d/18LsNQkS1mDovwmow1iN2RHhrfTZPCI4b/view?usp=sharing
1117026,ADIENT Metales,90651001 MANGA PLAS,MAGA NORMAL,-,160,70,58,10 mm,Coroplast,ESP-ADIM-026,https://drive.google.com/file/d/1lxiJpCuEEcHulliDTVi7VWb1R2LfOxgw/view?usp=sharing
1119027,ADIENT Metales,90651001 SEPARADOR,SEPARADOR,-,111,104,0,4 mm,Coroplast,ESP-ADIM-027,https://drive.google.com/file/d/183oW_F9JJT-3r9sy0gAtyswjj05Y8gNQ/view?usp=sharing
1117028,ADIENT Metales,CONTENEDOR TOWER,MAGA NORMAL,-,121.9,114.3,68.6,ECT - 84,Cuadruple,ESP-ADIM-028,https://drive.google.com/file/d/1g6F7o5TGXdo4fA_AfzrLb_C4ZvT1ma_w/view?usp=sharing
1119029,ADIENT Metales,SEPARADOR FONDO,SEPARADOR,-,111,104,0,10 MM,Coroplast,ESP-ADIM-029,https://drive.google.com/file/d/1w9PTpxEJ2OGEQEh4daGcYJWW2Kf17Pz-/view?usp=sharing
1116030,ADIENT Metales,90651001 45*48*27 CONTENEDOR,MANGA NORMAL,-,121.9,114.3,68.6,74,Triple,ESP-ADIM-030,https://drive.google.com/file/d/1xT5iP_TXZOA8m5F1XbE1xdIvePEXngx-/view?usp=sharing
1116031,ADIENT Metales,45*48*35,MANGA NORMAL,-,121.9,114.3,88.9,74,Triple,ESP-ADIM-031,https://drive.google.com/file/d/1K7Ied_Oe5AfDVH0_xgdVD2CoG-A61DLj/view?usp=sharing
1116032,ADIENT Metales,-,MANGA NORMAL,-,121.9,114.3,68.6,74,Triple,ESP-ADIM-032,https://drive.google.com/file/d/1SsBhhPEjW5SdoBQ3sQGLptqi9sKSuT8W/view?usp=sharing
1116033,ADIENT Metales,-,MANGA NORMAL,-,121.9,114.3,68.6,74,Triple,ESP-ADIM-033,https://drive.google.com/file/d/1efonEY1g5Zi0Lvj3xjW_9MZfZy6TafaH/view?usp=sharing
1119034,ADIENT Metales,-,SEPARADOR,-,111,104,0,32,Sencillo,ESP-ADIM-034,https://drive.google.com/file/d/1ovI_V3O5IG65Qrdgt36l_pPUq4PzOrzQ/view?usp=sharing
1114035,ADIENT Metales,-,TAPA TELESCOPICA,-,121.9,114.3,10.4,32,Sencillo,ESP-ADIM-035,https://drive.google.com/file/d/1YunVEkiLcSfho95EsdiqeiqftIf2J2JM/view?usp=sharing
1116036,ADIENT Metales,-,MANGA NORMAL,-,121.9,114.3,68.6,74,Triple,ESP-ADIM-036,https://drive.google.com/file/d/1ET3M0uYDvky06-kA3NdotMIedsmpLEIB/view?usp=sharing
1119037,ADIENT Metales,AVANZAR,SEPARADOR,-,110,102,0,42,Doble,ESP-ADIM-037,https://drive.google.com/file/d/1Bv9d-CG2qHBJjG3kjjWG6K9foamlddvT/view?usp=sharing
1131038,ADIENT Metales,AVANZAR,INSERTO,-,110,12.7,0,42,Doble,ESP-ADIM-038,https://drive.google.com/file/d/1DxWeU8P55i8_HiO24_lq5MWD9DKKL7-0/view?usp=sharing
1120039,ADIENT Metales,REJILLA 8 CAVIDADES,DIV1,-,111,60,0,32,Sencillo,ESP-ADIM-039,https://drive.google.com/file/d/1NOI2uszmNgCd7toc6Yx73kWvPOEN5lvQ/view?usp=sharing
1121040,ADIENT Metales,REJILLA 8 CAVIDADES,DIV2,-,104,60,0,32,Sencillo,ESP-ADIM-040,https://drive.google.com/file/d/1nBlpBkLbbTVVoghpU5Qsbf8B6MK3bcYh/view?usp=sharing
